ID,Delay
1,Short Delay
2,No Delay
3,No Delay
4,No Delay
5,Short Delay
6,No Delay
7,No Delay
8,No Delay
9,No Delay
10,No Delay
11,No Delay
12,No Delay
13,No Delay
14,Moderate Delay
15,Short Delay
16,No Delay
17,No Delay
18,No Delay
19,No Delay
20,No Delay
21,No Delay
22,No Delay
23,No Delay
24,Short Delay
25,Short Delay
26,No Delay
27,No Delay
28,No Delay
29,No Delay
30,No Delay
31,No Delay
32,Moderate Delay
33,No Delay
34,No Delay
35,Short Delay
36,No Delay
37,Short Delay
38,No Delay
39,Short Delay
40,No Delay
41,No Delay
42,Short Delay
43,No Delay
44,No Delay
45,No Delay
46,Short Delay
47,No Delay
48,Moderate Delay
49,No Delay
50,No Delay
51,No Delay
52,No Delay
53,Short Delay
54,No Delay
55,Short Delay
56,Short Delay
57,No Delay
58,No Delay
59,Moderate Delay
60,No Delay
61,No Delay
62,Short Delay
63,No Delay
64,No Delay
65,No Delay
66,No Delay
67,No Delay
68,Short Delay
69,Moderate Delay
70,No Delay
71,Short Delay
72,No Delay
73,Short Delay
74,Short Delay
75,No Delay
76,No Delay
77,No Delay
78,No Delay
79,Moderate Delay
80,No Delay
81,No Delay
82,No Delay
83,Short Delay
84,No Delay
85,No Delay
86,No Delay
87,No Delay
88,No Delay
89,Short Delay
90,Short Delay
91,No Delay
92,No Delay
93,Moderate Delay
94,No Delay
95,No Delay
96,No Delay
97,Moderate Delay
98,No Delay
99,Moderate Delay
100,Moderate Delay
101,Short Delay
102,Moderate Delay
103,No Delay
104,No Delay
105,No Delay
106,Short Delay
107,Moderate Delay
108,No Delay
109,No Delay
110,No Delay
111,No Delay
112,No Delay
113,Moderate Delay
114,Short Delay
115,No Delay
116,Moderate Delay
117,No Delay
118,No Delay
119,No Delay
120,Moderate Delay
121,Short Delay
122,Short Delay
123,Short Delay
124,No Delay
125,No Delay
126,No Delay
127,Moderate Delay
128,No Delay
129,Short Delay
130,Short Delay
131,No Delay
132,Moderate Delay
133,Short Delay
134,Moderate Delay
135,No Delay
136,No Delay
137,No Delay
138,Short Delay
139,Moderate Delay
140,No Delay
141,No Delay
142,No Delay
143,Short Delay
144,Short Delay
145,No Delay
146,No Delay
147,No Delay
148,Moderate Delay
149,Short Delay
150,Short Delay
151,No Delay
152,No Delay
153,No Delay
154,Moderate Delay
155,No Delay
156,No Delay
157,No Delay
158,No Delay
159,No Delay
160,Moderate Delay
161,No Delay
162,Short Delay
163,Short Delay
164,Moderate Delay
165,No Delay
166,No Delay
167,No Delay
168,No Delay
169,No Delay
170,No Delay
171,Short Delay
172,Moderate Delay
173,No Delay
174,No Delay
175,No Delay
176,No Delay
177,Short Delay
178,No Delay
179,Moderate Delay
180,Short Delay
181,Moderate Delay
182,No Delay
183,No Delay
184,Short Delay
185,No Delay
186,No Delay
187,Short Delay
188,Short Delay
189,No Delay
190,No Delay
191,No Delay
192,No Delay
193,No Delay
194,No Delay
195,No Delay
196,No Delay
197,Short Delay
198,No Delay
199,Moderate Delay
200,Short Delay
201,No Delay
202,No Delay
203,No Delay
204,No Delay
205,No Delay
206,No Delay
207,No Delay
208,No Delay
209,No Delay
210,No Delay
211,Short Delay
212,Short Delay
213,Short Delay
214,No Delay
215,Short Delay
216,No Delay
217,No Delay
218,Short Delay
219,No Delay
220,No Delay
221,Short Delay
222,No Delay
223,Short Delay
224,No Delay
225,No Delay
226,No Delay
227,No Delay
228,Short Delay
229,No Delay
230,No Delay
231,Short Delay
232,Short Delay
233,No Delay
234,No Delay
235,No Delay
236,Short Delay
237,Short Delay
238,No Delay
239,No Delay
240,Short Delay
241,Short Delay
242,Short Delay
243,Short Delay
244,No Delay
245,No Delay
246,Short Delay
247,No Delay
248,Short Delay
249,No Delay
250,Short Delay
251,No Delay
252,No Delay
253,No Delay
254,Short Delay
255,Short Delay
256,No Delay
257,No Delay
258,No Delay
259,Short Delay
260,Short Delay
261,No Delay
262,Short Delay
263,No Delay
264,No Delay
265,Short Delay
266,Short Delay
267,No Delay
268,No Delay
269,No Delay
270,Short Delay
271,No Delay
272,No Delay
273,Short Delay
274,Short Delay
275,Moderate Delay
276,Short Delay
277,Short Delay
278,Short Delay
279,Short Delay
280,Short Delay
281,Short Delay
282,No Delay
283,Short Delay
284,No Delay
285,No Delay
286,No Delay
287,No Delay
288,Short Delay
289,Short Delay
290,No Delay
291,No Delay
292,Short Delay
293,No Delay
294,Short Delay
295,Short Delay
296,No Delay
297,No Delay
298,No Delay
299,Short Delay
300,No Delay
301,Short Delay
302,No Delay
303,No Delay
304,No Delay
305,Short Delay
306,No Delay
307,No Delay
308,No Delay
309,No Delay
310,No Delay
311,Short Delay
312,No Delay
313,Short Delay
314,Short Delay
315,Short Delay
316,Short Delay
